LinkID,PositionX (m),PositionY (m),PositionZ (m),HighLevelCmd
A219BS010380,-8.305889861827191,1060.164551249329,-0.5622838759144317,0
A219BS010380,-8.064300359082024,1060.602274327354,-0.5565376486731077,0
A219BS010380,-7.822519578406253,1061.0398899899672,-0.5506566681890169,0
A219BS010380,-7.58064350667776,1061.477452083498,-0.5447085399073572,0
A219BS010380,-7.338496603435081,1061.9148607675115,-0.5385020594548472,0
A219BS010380,-7.096214802318374,1062.3521928997263,-0.5321668420141766,0
A219BS010380,-6.853865795488296,1062.7894868591914,-0.5257674745510307,0
A219BS010380,-6.61148330330781,1063.226761790363,-0.5193361408515899,0
A219BS010380,-6.369084126088056,1063.664027237989,-0.5128888782136702,0
A219BS010380,-6.12667663484089,1064.1012879595028,-0.5064336780985939,0
A219BS010380,-5.879027355107122,1064.5356247063714,-0.5018050101498966,0
A219BS010380,-5.628780364340736,1064.9684787453753,-0.4980868747915953,0
A219BS010380,-5.37745770082974,1065.4007168074147,-0.4954079701618891,0
A219BS010380,-5.125600054313184,1065.8326462641485,-0.4932468832058971,0
A219BS010380,-4.873952596503979,1066.2647022266185,-0.4921504014226816,0
A219BS010380,-4.622410314730408,1066.69682045128,-0.4915843665387118,0
A219BS010380,-4.370751074492057,1067.1288704056192,-0.4909033686690881,0
A219BS010380,-4.119033571301737,1067.5608863237665,-0.4901650902745784,0
A219BS010380,-3.8740411914013935,1067.996749056981,-0.4886121621166672,0
A219BS010380,-3.632422325189152,1068.434489261658,-0.4866534126691768,0
A219BS010380,-3.388562746869418,1068.870985959462,-0.4848817276286858,0
A219BS010380,-3.1435892832591,1069.3068588593408,-0.4832032526818438,0
A219BS010380,-2.899745567232787,1069.7433667096118,-0.4821361040572735,0
A219BS010380,-2.65646540592794,1070.1801895358883,-0.4813735036965235,0
A219BS010380,-2.41346617400564,1070.6171689405587,-0.4807626197996067,0
A219BS010380,-2.1673310034875923,1071.0523892250496,-0.4798784243195857,0
A219BS010380,-1.9195170651366469,1071.4866554993137,-0.4788512943977049,0
A219BS010380,-1.6736580775032648,1071.92203225091,-0.4781861858743159,0
A219BS010380,-1.4287748623032566,1072.357958822617,-0.477701425418076,0
A219BS010380,-1.1855000315628734,1072.7947846721804,-0.476970753314089,0
A219BS010380,-0.9430276673727926,1073.2320562407824,-0.4761175848723496,0
A219BS010380,-0.7035863656803114,1073.6709953694751,-0.4755659089972202,0
A219BS010380,-0.4609037795842395,1074.108151042207,-0.4752827057516716,0
A219BS010380,-0.2179787872407123,1074.5451721474185,-0.4753238748518198,0
A219BS010380,0.0250668847326783,1074.982126104066,-0.4755266179470305,0
A219BS010380,0.2702108298986059,1075.4179061366096,-0.4759842038102442,0
A219BS010380,0.512704523983711,1075.8551665445902,-0.4763636002254346,0
A219BS010380,0.7554703991353616,1076.292275997714,-0.476599929879462,0
A219BS010380,0.9983718044700052,1076.7293101840644,-0.476764998303341,0
A219BS010380,1.242502793916042,1077.1656587267737,-0.4768612667603977,0
A219BS010380,1.4872455148828272,1077.601664456885,-0.476923265695396,0
A219BS010380,1.7329976078158862,1078.0371016503475,-0.4763237921770704,0
A219BS010380,1.9792518130916223,1078.4722545010072,-0.4753948428830633,0
A219BS010380,2.2257559549798955,1078.907265435646,-0.4743017844720577,0
A219BS010380,2.471370454207927,1079.3427802652272,-0.4737093456131386,0
A219BS010380,2.716541352747857,1079.778545239501,-0.4733662634779104,0
A219BS010380,2.9605839192196903,1080.2149425647708,-0.4725915072654265,0
A219BS010380,3.2041129778083195,1080.6516269971128,-0.4720399883850579,0
A219BS010380,3.447386119664173,1081.0884541764003,-0.4715996619774363,0
A219BS010380,3.6845182932963167,1081.5286443180391,-0.4706140492051166,0
A219BS010380,3.922716956802186,1081.968258446057,-0.4697111920347228,0
A219BS010380,4.162523878250672,1082.406997858916,-0.4691045376287567,0
A219BS010380,4.403130549060284,1082.8452993751823,-0.4686454077675548,0
A219BS010380,4.643353102852542,1083.2838116826488,-0.4683610661542052,0
A219BS010380,4.883924396110113,1083.7221328300834,-0.4682043119876067,0
A219BS010380,5.124669310694228,1084.160358659324,-0.4681111006874529,0
A219BS010380,5.365549897684597,1084.598509897918,-0.4679242062153226,0
A219BS010380,5.606498042258052,1085.0366239664895,-0.4676906544287924,0
A219BS010380,5.847479829821652,1085.4747195178504,-0.4674338657596218,0
A219BS010380,6.088660437189953,1085.9127056866826,-0.4672591051783005,0
A219BS010380,6.329921366249003,1086.3506476369855,-0.4671483152029745,0
A219BS010380,6.571203045523311,1086.788578098976,-0.4668999056347828,0
A219BS010380,6.812495052068512,1087.2265028266645,-0.4665829569748149,0
A219BS010380,7.053335826889654,1087.6646759356888,-0.4663645274035799,0
A219BS010380,7.29395177445962,1088.1029725670824,-0.4661951637081785,0
A219BS010380,7.536676859709813,1088.5401047256998,-0.466100862414482,0
A219BS010380,7.7796004255177476,1088.97712645216,-0.4657112768880185,0
A219BS010380,8.022570650288973,1089.4141223130214,-0.4654155325467298,0
A219BS010380,8.26544642281644,1089.8511707337927,-0.4652231254735886,0
A219BS010380,8.506881297046183,1090.2890166144982,-0.4647915527880168,0
A219BS010380,8.747117328731802,1090.7275216190103,-0.4648920395432498,0
A219BS010380,8.98877812352191,1091.1652429658996,-0.4646043957022012,0
A219BS010380,9.23100138591192,1091.6026528965974,-0.4639382995866019,0
A219BS010380,9.473769071015768,1092.0397612137876,-0.4635258526562295,0
A219BS010380,9.71662586694317,1092.4768201533066,-0.463280784151471,0
A219BS010380,9.95994454134745,1092.9136219923332,-0.4628611307403541,0
